[2015-05-21 01:38:08,056: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:38:38,084: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:39:08,113: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:39:38,143: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:40:08,165: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:40:38,190: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:41:08,200: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:41:38,210: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:42:08,227: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:42:38,260: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:43:08,284: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:43:38,304: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:44:08,329: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:44:38,352: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:45:08,373: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:45:38,379: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:46:08,401: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:46:38,508: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:47:08,537: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:47:38,551: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:48:08,583: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:48:38,611: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:49:08,633: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:49:38,654: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:50:08,682: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:50:38,711: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:51:08,731: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:51:38,756: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:52:08,877: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:52:38,974: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:53:09,006: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:53:39,023: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:54:09,040: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:54:39,068: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:55:09,095: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:55:39,120: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:56:09,143: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:56:39,167: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:57:09,175: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:57:39,196: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:58:09,227: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:58:39,258: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:59:09,275: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 01:59:39,309: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 02:00:09,341: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 02:00:39,368: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 02:01:09,402: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 02:01:39,433: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 02:02:09,482: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 02:02:39,491: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 02:03:09,532: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 02:03:39,556: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 02:04:09,581: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 02:04:39,617: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 02:05:09,652: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 02:05:39,690: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 02:06:09,726: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 02:06:39,748: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 02:07:09,771: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 02:07:39,790: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 02:08:09,815: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 02:08:39,840: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 02:09:09,892: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 02:09:39,917: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 02:10:09,958: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 02:10:39,989: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 02:11:10,017: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 02:11:40,031: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 02:12:10,085: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 02:12:40,103: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 02:13:10,128: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 02:13:40,164: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 02:14:10,199: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 02:14:40,235: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 02:15:10,287: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 02:15:40,344: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 02:16:10,395: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 02:16:40,482: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 02:17:10,511: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 02:17:40,727: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 02:18:10,800: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 02:18:40,831: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 02:19:10,863: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 02:19:40,897: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 02:20:10,919: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 02:20:40,955: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 02:21:11,007: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 02:21:41,037: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 02:22:11,070: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 02:22:41,100: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 02:23:11,130: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 02:23:41,166: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 02:24:11,871: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 02:24:41,906: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 02:25:11,929: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 02:25:41,931: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 02:26:11,960: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 02:26:41,989: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 02:27:12,020: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 02:27:42,036: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 02:28:12,069: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 02:28:42,094: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 02:29:12,110: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 02:29:42,132: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 02:30:12,171: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 02:30:45,955: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 02:31:15,978: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 02:31:46,014: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
